"Produto","ID","Data","Quantidade","Categoria","Preco"
"Fone de Ouvido",34,2023-11-26,6,"Acessórios",200
"Fone de Ouvido",73,2023-03-10,16,"Acessórios",200
"Fone de Ouvido",86,2023-07-18,3,"Acessórios",200
"Fone de Ouvido",12,2023-04-01,17,"Acessórios",200
"Fone de Ouvido",77,2023-03-30,27,"Acessórios",200
"Fone de Ouvido",90,2023-03-26,30,"Acessórios",200
"Fone de Ouvido",8,2023-09-01,6,"Acessórios",200
"Fone de Ouvido",62,2023-08-23,12,"Acessórios",200
"Fone de Ouvido",24,2023-07-30,5,"Acessórios",200
"Fone de Ouvido",55,2023-03-31,13,"Acessórios",200
"Fone de Ouvido",13,2023-09-13,5,"Acessórios",200
"Fone de Ouvido",18,2023-12-21,14,"Acessórios",200
"Fone de Ouvido",54,2023-02-10,2,"Acessórios",200
"Fone de Ouvido",72,2023-01-13,16,"Acessórios",200
"Fone de Ouvido",98,2023-04-08,9,"Acessórios",200
"Fone de Ouvido",48,2023-07-29,18,"Acessórios",200
"Fone de Ouvido",45,2023-03-17,21,"Acessórios",200
"Fone de Ouvido",76,2023-10-05,27,"Acessórios",200
"Fone de Ouvido",65,2023-02-08,10,"Acessórios",200
"Fone de Ouvido",44,2023-03-13,8,"Acessórios",200
"Fone de Ouvido",53,2023-10-04,17,"Acessórios",200
"Fone de Ouvido",56,2023-11-12,24,"Acessórios",200
"Fone de Ouvido",61,2023-09-19,5,"Acessórios",200
"Mouse",47,2023-05-21,20,"Acessórios",100
"Mouse",25,2023-03-19,21,"Acessórios",100
"Mouse",78,2023-01-25,3,"Acessórios",100
"Mouse",5,2023-04-28,26,"Acessórios",100
"Mouse",10,2023-06-02,30,"Acessórios",100
"Mouse",7,2023-08-17,20,"Acessórios",100
"Mouse",42,2023-10-17,28,"Acessórios",100
"Mouse",74,2023-08-31,3,"Acessórios",100
"Mouse",14,2023-07-16,25,"Acessórios",100
NA,19,2023-11-24,1,"Acessórios",100
"Mouse",33,2023-09-20,10,"Acessórios",100
"Mouse",91,2023-06-14,30,"Acessórios",100
"Mouse",31,2023-02-01,13,"Acessórios",100
NA,40,2023-06-15,21,"Acessórios",100
"Mouse",79,2023-10-18,29,"Acessórios",100
NA,4,2023-11-02,21,"Acessórios",100
"Mouse",100,2023-08-02,29,"Acessórios",100
"Mouse",69,2023-11-02,10,"Acessórios",100
"Notebook",57,2023-08-11,17,"Eletrônicos",3500
NA,38,2023-11-05,16,"Eletrônicos",3500
"Notebook",30,2023-05-23,21,"Eletrônicos",3500
"Notebook",70,2023-02-03,6,"Eletrônicos",3500
"Notebook",6,2023-10-26,9,"Eletrônicos",3500
"Notebook",20,2023-01-26,2,"Eletrônicos",3500
"Notebook",59,2023-04-26,18,"Eletrônicos",3500
"Notebook",22,2023-05-17,10,"Eletrônicos",3500
"Notebook",49,2023-12-19,29,"Eletrônicos",3500
"Notebook",71,2023-01-04,28,"Eletrônicos",3500
"Notebook",63,2023-03-27,25,"Eletrônicos",3500
"Notebook",43,2023-03-10,21,"Eletrônicos",3500
"Notebook",83,2023-04-20,2,"Eletrônicos",3500
"Notebook",88,2023-05-31,29,"Eletrônicos",3500
"Notebook",28,2023-12-25,23,"Eletrônicos",3500
"Notebook",3,2023-07-14,28,"Eletrônicos",3500
"Notebook",87,2023-03-08,9,"Eletrônicos",3500
"Notebook",92,2023-05-16,9,"Eletrônicos",3500
"Notebook",97,2023-08-24,12,"Eletrônicos",3500
"Notebook",89,2023-12-01,7,"Eletrônicos",3500
"Notebook",95,2023-06-27,22,"Eletrônicos",3500
"Notebook",80,2023-10-13,23,"Eletrônicos",3500
"Smartphone",21,2023-01-07,4,"Eletrônicos",2000
"Smartphone",51,2023-06-02,1,"Eletrônicos",2000
"Smartphone",67,2023-08-28,6,"Eletrônicos",2000
"Smartphone",68,2023-07-28,10,"Eletrônicos",2000
